Ürün Adı,Adet,min_date,max_date,date_diff,olumlu_sayi,olumsuz_sayi
TRENDYOLMİLLA Siyah Yumuşak Dokulu Midi Kruvaze Yaka Bağlama Detaylı Triko Elbise,190,2022-04-14,2024-12-20,981,157,33
TRENDYOLMİLLA Haki Kuşaklı Bağlamalı Örme Maxi Plaj Elbisesi TBESS21EL2992,189,2022-04-25,2024-08-14,842,168,21
TRENDYOLMİLLA Indigo Çiçek Baskılı Sıfır Kol Volanlı Shift/Düz Mini Esnek Örme Elbise TWOSS22EL0794,189,2023-03-30,2024-12-06,617,177,12
TRENDYOLMİLLA Siyah Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208,189,2022-06-21,2025-02-13,968,174,15
TRENDYOLMİLLA Çok Renkli Cut Out/Pencere Detaylı Maxi Dokuma Elbise TWOSS21EL3578,188,2022-03-27,2024-12-19,998,163,25
TRENDYOLMİLLA Taş Midi Triko Kemer Detaylı Elbise TWOAW22EL0009,185,2022-05-04,2025-02-26,1029,171,14
TRENDYOLMİLLA Beyaz Astarlı Pencere/Cut Out Detaylı Puantiyeli Örme Tül Kısa Abiye Gece Elbise TPRSS19FZ0120,185,2022-03-15,2025-02-13,1066,168,17
TRENDYOLMİLLA Lacivert Midi Triko Kemer Detaylı Elbise TWOAW22EL0009,183,2022-04-08,2025-02-21,1050,167,16
TRENDYOLMİLLA Siyah Kısa Kol Bodycone/Vücuda Oturan Bisiklet Yaka Esnek Örme Maxi Kalem Elbise TWOSS24EL00097,179,2024-04-19,2025-01-28,284,168,11
Trendyol Curve Siyah Büyük Beden Kare Yaka Yırtmaçlı A-Kesim/Çan Midi Dokuma Şifon Elbise TBBAW23AH00107,178,2022-08-20,2025-02-15,910,161,17
TRENDYOLMİLLA Siyah Yumuşak Kumaşlı Fitted/Vücuda Oturan Kısa Kollu Esnek Örme Mini Kalem Elbise TWOSS24EL00756,177,2024-03-30,2025-03-10,345,144,33
TRENDYOLMİLLA Lacivert A Kesim Korsaj Detaylı V Yaka Maxi Dokuma Elbise TWOSS24EL00620,177,2024-04-15,2025-03-04,323,133,44
TRENDYOLMİLLA Çok Renkli Tek Kol Vücuda Oturan Aksesuar Detaylı Tül Esnek Örme Midi Kalem Elbise TWOSS24EL00174,176,2024-03-09,2025-02-23,351,169,7
TRENDYOLMİLLA Siyah Ayarlanabilir Askılı A-Line Bürümcük/Dokulu Örme Maxi Elbise TWOSS24EL00060,175,2024-05-02,2025-01-31,274,160,15
TRENDYOLMİLLA Haki Dokulu Kumaş Fitted/Vücuda Oturan Ay Kol Esnek Örme Midi Kalem Elbise TWOSS24EL00103,175,2024-02-23,2025-03-09,380,159,16
Trendyol Curve Siyah Dokuma Yırtmaçlı İnce Ayarlanabilir Askılı Abiye/Gece/Mezuniyet/Nişan Elbise TBBSS22AD00001,175,2022-07-15,2025-03-09,968,153,22
TRENDYOLMİLLA Siyah Bisiklet Yaka Taş Detaylı Shift/Düz Mini Süet Örme Elbise TWOAW24EL00523,175,2023-09-11,2025-03-09,545,162,13
TRENDYOLMİLLA Siyah Midi Triko Basic Carmen Yaka Elbise TWOAW25EL00033,175,2024-09-13,2025-03-10,178,156,19
TRENDYOLMİLLA Bordo A-Kesim Dokuma Şifon Kısa Şık Abiye Elbise TPRSS23EL00033,174,2023-03-20,2025-01-11,663,142,32
TRENDYOLMİLLA Beyaz Yumuşak Kumaşlı Fitted/Vücuda Oturan Kısa Kollu Esnek Örme Mini Kalem Elbise TWOSS24EL00756,174,2024-04-20,2025-01-30,285,157,17
TRENDYOLMİLLA Siyah Animal Shift Shally Maxi Dokuma Elbise TWOSS24EL00872,174,2024-05-11,2024-09-10,122,155,19
Trendyol Curve Siyah Kuşaklı Dokuma Düğmeli Midi Büyük Beden Gömlek Elbise TBBSS22AH0079,174,2022-03-19,2024-12-02,989,158,16
TRENDYOLMİLLA Bridal Ekru Vücuda Oturan Astarlı Dokuma Düğün/Nikah Şık Abiye Elbise TPRSS23EL00541,174,2023-04-27,2025-03-09,682,152,22
Trendyol Curve Siyah Ayarlanabilir Askılı Vücuda Oturan Midi/Orta Boy Dokuma Büyük Beden Elbise TBBSS22AH00039,174,2022-11-15,2025-01-31,808,136,38
TRENDYOLMİLLA Lacivert A-Kesim Beli Lastikli Denim Kısa Şık Elbise TPRAW23EL00420,174,2022-11-02,2025-03-10,859,118,56
TRENDYOLMİLLA Limited Edition Çok Renkli Çiçek Baskılı Örme Maxi Esnek Kalem Elbise TWOSS24EL00563,174,2024-04-18,2025-03-06,322,149,25
Trendyol Curve Siyah Yırtmaçlı Örme Elbise TBBSS23AH00280,173,2023-07-12,2025-03-10,607,145,28
Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176,173,2022-03-15,2025-02-16,1069,152,21
TRENDYOLMİLLA Beyaz Düz Dokulu A Kesim/Çan Form Bisiklet Yaka Dokulu Maxi Elbise TWOSS24EL00683,173,2024-03-16,2025-01-28,318,140,33
Trendyol Curve Siyah Beyaz Gömlek Yaka Uzun Kol Düğmeli Tüvit Elbise TBBAW24AH00026,173,2023-09-06,2025-03-10,551,154,19
Trendyol Curve Mavi A-line Kruvaze Yaka Çiçek Desenli Yazlık Örme Elbise TBBSS22AH00000,172,2022-04-19,2024-12-18,974,159,13
